0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
AAPL,1.166,1.3257,1.2849,1.1771,1.0661,1.1988,1.3265,1.1267,1.7854,1.3536,1.6856,1.1728,1.2934,1.2924,1.1113,1.0898,1.0775,1.0599,1.2356,1.0811,1.0578,0.936,1.1228,1.2133
ACN,1.0612,1.0529,1.0357,1.0178,0.952,0.8744,0.8186,0.9917,0.9131,0.9743,0.5576,1.0588,0.5887,0.9404,0.9748,0.9972,1.0058,1.1785,1.0383,1.1849,1.1646,1.1128,1.0696,0.9855
ADBE,0.7671,0.891,0.8218,0.7751,0.7779,0.7928,0.8873,0.7477,0.9973,1.2066,1.3137,0.7598,1.2843,1.1438,1.1612,1.181,0.795,1.2025,1.1817,1.1557,1.233,1.0618,1.1522,1.1511
ADI,1.064,0.9986,1.0138,1.0564,1.3273,1.4653,1.4375,1.1328,1.4961,1.6488,2.3922,1.0668,2.2184,1.6761,1.676,1.6855,1.2569,1.2891,1.6245,1.2619,1.3258,1.2067,1.4731,1.5789
ADP,0.5586,0.5053,0.5988,0.6533,0.6968,0.682,0.7357,0.5811,0.6998,0.796,0.5226,0.5585,0.5513,0.7809,0.767,0.793,0.7026,1.0305,0.8516,1.0388,0.9908,1.0577,0.9049,0.8287
ADS,2.9537,2.7671,2.9592,3.0894,3.2301,3.1848,2.5892,3.2522,1.4364,1.9119,1.5077,2.9232,1.8819,1.8497,1.7797,1.7545,3.3751,1.9631,1.686,2.0082,1.7977,2.0422,1.7435,1.6266
ADSK,1.1887,1.2199,1.2238,1.1836,1.3027,1.2919,1.338,1.3416,1.1973,1.5565,1.6659,1.1981,1.7521,1.417,1.5766,1.5718,1.4494,1.7744,1.6564,1.6972,1.8389,1.6026,1.8442,1.6068
AKAM,0.4291,0.3694,0.276,0.2205,0.2409,0.2859,0.3451,0.2226,0.8588,0.9791,0.7622,0.427,0.7693,1.0007,0.9227,0.925,0.2107,0.8022,0.9005,0.7212,0.902,0.6219,0.8799,0.8813
AMAT,1.334,0.9184,0.9335,0.9252,1.1565,1.1885,1.5899,1.077,1.3961,1.7478,1.8645,1.3232,1.8793,1.7905,1.8772,1.8809,1.0962,1.568,1.7293,1.5212,1.6375,1.3627,1.6067,1.7157
AMD,1.2097,1.1941,1.1247,1.0002,0.6881,0.7683,0.795,0.9967,1.1144,1.6811,0.9609,1.1558,1.6278,1.6578,2.3203,2.3722,0.6487,3.5915,2.6305,3.7695,3.4302,4.1505,3.009,2.7023
ANET,0.752,0.286,0.3044,0.2439,0.4338,0.619,0.5261,0.5603,1.5013,1.4395,2.0768,0.7585,1.7294,1.6843,1.6947,1.6802,0.3548,1.4737,1.6838,1.4876,1.3868,1.0907,1.7434,1.6336
ANSS,0.8474,0.9089,0.8603,0.8305,0.8958,0.962,1.0836,0.8234,1.558,1.532,1.4787,0.8596,1.535,1.4669,1.734,1.722,0.8303,1.7369,1.7862,1.7211,1.7371,1.6475,1.6999,1.7236
APH,1.3094,1.3112,1.3569,1.3929,1.4866,1.5017,1.4569,1.4919,1.4443,1.2532,1.7917,1.2873,1.5165,1.2572,1.1482,1.1141,1.4693,0.8886,1.0695,0.9288,0.8967,0.8578,1.0503,1.1037
AVGO,1.0018,0.986,0.9701,1.0564,1.1619,1.3288,1.4506,1.042,1.9736,0.8995,2.3113,1.0209,1.8493,0.882,0.9757,0.9953,1.0998,0.1703,0.9083,0.2062,0.1881,0.2136,0.6396,0.8153
BR,0.9457,1.0219,1.0611,1.0764,1.0328,0.8656,0.603,1.0954,0.5725,0.4196,-0.012,0.9491,0.0344,0.4292,0.6198,0.6362,1.0889,1.0711,0.8089,0.9356,1.1822,0.884,0.849,0.7745
